
11e284,X5778440,Y2553426
e7cd67,X4780478,Y3436374
7392e7,X6692918,Y3367890
ba96fe,X5491459,Y3720108
7e9b33,X4830426,Y6348994
815f71,X4161876,Y5064548
705816,X5569512,Y6237824
6821d8,X4739496,Y3742392
f27bfd,X4132500,Y1853826
f16db3,X5010930,Y6206670
29d8df,X3678446,Y1915000
4266a3,X4966666,Y4424274
119740,X4530618,Y170532
4de0fb,X4965885,Y550999
506343,X4042146,Y3499494
04cca0,X3974691,Y5247575
5eab43,X4136228,Y4245774
a8043c,X5663592,Y3629728
f8a170,X4540276,Y4030576
d72993,X3735215,Y6992440
f8edfc,X4884428,Y4262232
2f4835,X3718040,Y3513844
2baa42,X5326158,Y5468502
c8a2f4,X3364881,Y4203198
442941,X6665744,Y4871960
eb5caa,X4224372,Y3718868
11b9ff,X7011166,Y4552977
36942a,X4435070,Y3421819
c8745e,X6805456,Y5384104
