be4f98,X6310872,Y6578504
a8043c,X5652644,Y3619596
968368,X7750758,Y4082020
d72993,X3730149,Y6992984
dc0ad4,X9589528,Y5217000
f8a170,X4537182,Y4030032
29d8df,X3662704,Y1898000
5eab43,X4119024,Y4243292
7392e7,X6697032,Y3366360
5e65f7,X6189896,Y7134976
4266a3,X4953984,Y4417576
04cca0,X3973356,Y5248700
aec21f,X9277728,Y3628392
059066,X9310812,Y6741908
161d11,X7015536,Y4975832
02af7c,X12784904,Y6669898
d28704,X9315356,Y6775954
cb74ed,X7849074,Y6291656
2a3883,X8116143,Y511154
6a7a17,X3217614,Y2142564
3f914c,X7340454,Y5488055
848c32,X2612728,Y2249940
b0f25d,X6992839,Y6910918
770e73,X9807776,Y4101851
f8edfc,X5130542,Y4131948
dbabec,X10358501,Y5937610
2f4835,X3699560,Y3498466
2baa42,X5296887,Y5481603
0572c9,X589679,Y2107868
4d49b9,X7612895,Y2680025
ddb9af,X8259947,Y6181950
c8a2f4,X3363057,Y4203006
3b8c30,X3264266,Y6083686
883550,X8630839,Y6938946
c8745e,X7088858,Y5384972
442941,X6743492,Y4619155
11b9ff,X7121782,Y4526229
eb5caa,X4320354,Y3619826
36942a,X4430390,Y3421063
d83298,X9920837,Y2513129
